"date"	"ws"	"wd"	"nox"	"no2"	"o3"	"pm10"	"so2"	"co"	"pm25"
"89"	1998-01-04 16:00:00	16.56	220	116	45	13	17	4.0075	1.945	NA
"90"	1998-01-04 17:00:00	20.16	230	107	33	11	20	3.79	2.29	NA
"91"	1998-01-04 18:00:00	19.2	240	123	41	9	24	4.025	2.4125	NA
"92"	1998-01-04 19:00:00	18.6	250	97	36	11	22	3.635	1.8725	NA
"93"	1998-01-04 20:00:00	16.2	250	91	30	10	23	3.345	1.55	NA
"94"	1998-01-04 21:00:00	15.96	250	94	39	9	21	3.0575	1.38	NA
"95"	1998-01-04 22:00:00	12.6	250	86	36	9	20	2.6525	1.23	NA
"96"	1998-01-04 23:00:00	12.96	240	78	30	11	16	2.2425	1.28	NA
"97"	1998-01-05 00:00:00	11.76	240	88	37	13	12	2.36	1.155	NA
"98"	1998-01-05 01:00:00	9.96	240	NA	NA	NA	12	NA	NA	NA
"99"	1998-01-05 02:00:00	11.16	240	54	24	18	11	1.4425	0.54	NA
"100"	1998-01-05 03:00:00	8.76	240	53	24	16	12	1.595	0.54	NA
"101"	1998-01-05 04:00:00	7.56	240	69	28	12	13	1.6125	0.715	NA
"102"	1998-01-05 05:00:00	6	230	111	36	8	17	2.2425	1.0325	NA
"103"	1998-01-05 06:00:00	3.36	210	259	54	3	31	4.0425	2.0475	NA
"104"	1998-01-05 07:00:00	5.4	160	281	62	2	42	5.1825	2.755	NA
"105"	1998-01-05 08:00:00	4.8	200	211	62	3	28	4.2125	2.9575	NA
"106"	1998-01-05 09:00:00	3.36	120	165	43	2	18	3.72	1.8725	NA
"107"	1998-01-05 10:00:00	4.2	90	196	54	1	23	4.1975	1.8725	NA
"108"	1998-01-05 11:00:00	5.76	120	398	70	2	47	6.8125	3.69	NA
"109"	1998-01-05 12:00:00	9.96	220	248	56	3	33	6.15	2.5125	NA
"110"	1998-01-05 13:00:00	9.360001	230	209	54	7	23	5.7925	2.215	NA
"111"	1998-01-05 14:00:00	8.16	240	262	47	4	38	6.9175	3.055	NA
"112"	1998-01-05 15:00:00	8.4	230	239	63	4	34	6.61	2.8575	NA
"113"	1998-01-05 16:00:00	8.4	240	251	66	3	34	6.7425	3.2	NA
"114"	1998-01-05 17:00:00	5.16	260	168	51	2	23	5.3675	3.225	NA
"115"	1998-01-05 18:00:00	4.8	280	118	45	3	18	4.91	2.7825	NA
"116"	1998-01-05 19:00:00	4.2	300	61	33	4	12	3.6025	0.96	NA
"117"	1998-01-05 20:00:00	3.96	320	85	35	1	14	3.535	1.3525	NA
"118"	1998-01-05 21:00:00	3.6	300	132	38	1	22	4.77	2.485	NA
"119"	1998-01-05 22:00:00	4.56	300	188	39	1	31	5.98	2.685	NA
"120"	1998-01-05 23:00:00	6	250	178	38	1	33	6.2375	2.3875	NA
"121"	1998-01-06 00:00:00	5.4	250	152	36	1	23	5.095	1.97	NA
"122"	1998-01-06 01:00:00	5.4	260	NA	NA	NA	18	NA	NA	NA
"123"	1998-01-06 02:00:00	4.8	260	129	39	1	20	4.755	1.23	NA
"124"	1998-01-06 03:00:00	3	260	131	34	1	21	4.5175	1.28	NA
"125"	1998-01-06 04:00:00	1.8	250	123	31	1	20	3.3825	1.28	NA
"126"	1998-01-06 05:00:00	2.16	230	176	36	1	24	3.6375	1.4775	NA
"127"	1998-01-06 06:00:00	2.16	200	327	52	2	35	5.0275	2.7075	NA
"128"	1998-01-06 07:00:00	3	170	408	45	2	47	6.8125	3.275	NA
"129"	1998-01-06 08:00:00	3	210	440	65	2	53	8.46	3.9125	NA
"130"	1998-01-06 09:00:00	2.16	170	368	59	2	58	8.835	3.89	NA
"131"	1998-01-06 10:00:00	2.76	120	300	59	1	57	9.9725	3.2975	NA
"132"	1998-01-06 11:00:00	3.36	130	226	47	1	48	8.6125	2.3375	NA
"133"	1998-01-06 12:00:00	4.2	130	231	75	1	42	7.3375	2.3625	NA
"134"	1998-01-06 13:00:00	6.36	170	238	53	1	41	6.9475	2.855	NA
"135"	1998-01-06 14:00:00	6	180	134	43	2	26	4.8575	1.575	NA
"136"	1998-01-06 15:00:00	4.8	180	157	48	1	25	4.45	1.725	NA
"137"	1998-01-06 16:00:00	4.2	170	162	44	0	30	4.6525	2.5875	NA
"138"	1998-01-06 17:00:00	4.56	170	171	38	0	34	4.45	2.61	NA
"139"	1998-01-06 18:00:00	4.8	180	278	54	1	42	5.7075	5.76	NA
"140"	1998-01-06 19:00:00	6	200	168	32	0	33	4.875	2.955	NA
"141"	1998-01-06 20:00:00	7.2	200	169	40	1	35	4.79	2.6825	NA
"142"	1998-01-06 21:00:00	6.36	210	129	40	4	29	4.5675	1.97	NA
"143"	1998-01-06 22:00:00	5.16	210	169	35	2	35	4.685	2.61	NA
"144"	1998-01-06 23:00:00	6.36	200	140	37	3	35	4.74	1.92	NA
"145"	1998-01-07 00:00:00	6.6	220	108	35	6	25	4.025	1.3525	NA
"146"	1998-01-07 01:00:00	4.56	220	92	27	7	20	3.443333	1.046667	NA
"147"	1998-01-07 02:00:00	5.76	190	79	32	10	17	3.013333	0.7566667	NA
"148"	1998-01-07 03:00:00	4.56	200	78	26	8	17	3.075	0.79	NA
"149"	1998-01-07 04:00:00	4.8	200	78	31	7	22	2.8725	0.74	NA
"150"	1998-01-07 05:00:00	6.96	200	110	41	7	28	3.585	0.9325	NA
"151"	1998-01-07 06:00:00	8.4	210	186	39	5	31	4.98	1.5	NA
"152"	1998-01-07 07:00:00	8.16	220	250	41	3	37	6.9325	2.41	NA
"153"	1998-01-07 08:00:00	8.4	210	233	57	4	28	7.0675	2.93	NA
"154"	1998-01-07 09:00:00	8.76	200	245	56	3	41	7.17	2.855	NA
"155"	1998-01-07 10:00:00	9	220	250	62	4	42	7.0975	2.6325	NA
"156"	1998-01-07 11:00:00	11.4	230	222	43	4	43	7.1325	2.4125	NA
"157"	1998-01-07 12:00:00	11.16	240	238	46	4	42	7.44	2.4625	NA
"158"	1998-01-07 13:00:00	10.56	240	211	42	5	42	6.7925	2.165	NA
"159"	1998-01-07 14:00:00	8.4	240	219	54	4	40	6.49	2.165	NA
"160"	1998-01-07 15:00:00	9.6	220	265	53	4	41	7.085	2.9775	NA
"161"	1998-01-07 16:00:00	8.16	230	190	45	3	33	5.6925	2.5375	NA
"162"	1998-01-07 17:00:00	7.2	220	214	59	2	34	5.945	3.175	NA
"163"	1998-01-07 18:00:00	9.96	210	220	46	2	27	5.3325	4.0875	NA
"164"	1998-01-07 19:00:00	3.96	260	357	61	3	27	6.8975	6.8425	NA
"165"	1998-01-07 20:00:00	4.8	170	318	51	1	37	7.545	5.0725	NA
"166"	1998-01-07 21:00:00	8.16	210	175	45	2	29	6.0125	3.3	NA
"167"	1998-01-07 22:00:00	6.96	230	154	43	4	21	5.5725	2.315	NA
"168"	1998-01-07 23:00:00	6.36	230	142	42	4	19	4.9425	2.0675	NA
"169"	1998-01-08 00:00:00	4.56	220	137	37	4	16	4.4825	1.8225	NA
"170"	1998-01-08 01:00:00	6.96	220	98	33	5	12	3.943333	1.28	NA
"171"	1998-01-08 02:00:00	5.76	230	82	33	10	10	3.51	0.9166667	NA
"172"	1998-01-08 03:00:00	6.6	230	76	27	11	9	3.04	0.815	NA
"173"	1998-01-08 04:00:00	5.16	210	73	31	9	12	2.735	0.9075	NA
"174"	1998-01-08 05:00:00	4.8	200	126	38	5	20	3.485	1.06	NA
"175"	1998-01-08 06:00:00	5.16	190	206	39	3	29	4.96	1.6725	NA
"176"	1998-01-08 07:00:00	6.6	190	268	56	1	41	6.15	2.51	NA
"177"	1998-01-08 08:00:00	8.16	220	236	54	3	51	6.8625	3.1025	NA
"178"	1998-01-08 09:00:00	9.96	210	202	51	3	NA	6.1675	2.9525	NA
"179"	1998-01-08 10:00:00	NA	220	181	55	4	43	3.84	1.9675	NA
"180"	1998-01-08 11:00:00	11.16	210	181	47	5	45	4.0075	1.92	NA
"181"	1998-01-08 12:00:00	11.4	220	220	49	5	50	5.215	2.3875	NA
"182"	1998-01-08 13:00:00	11.4	220	191	52	5	43	4.74	2.19	NA
"183"	1998-01-08 14:00:00	10.8	220	186	61	4	50	4.315	2.0675	NA
"184"	1998-01-08 15:00:00	11.4	220	206	52	4	53	4.96	2.435	NA
"185"	1998-01-08 16:00:00	9.96	220	163	45	4	53	4.925	2.51	NA
"186"	1998-01-08 17:00:00	9.96	210	135	38	5	43	4.72	2.4375	NA
"187"	1998-01-08 18:00:00	10.56	220	157	43	4	42	4.86	2.905	NA
"188"	1998-01-08 19:00:00	10.56	220	126	31	5	40	4.775	2.2875	NA
"189"	1998-01-08 20:00:00	9.96	220	173	49	5	42	5.4175	3.3	NA
"190"	1998-01-08 21:00:00	9.96	220	162	41	5	43	5.3675	2.9775	NA
"191"	1998-01-08 22:00:00	8.4	210	153	38	4	42	5.1325	2.265	NA
"192"	1998-01-08 23:00:00	8.16	210	124	34	6	39	4.705	1.675	NA
"193"	1998-01-09 00:00:00	8.16	210	105	29	7	35	4.2325	1.305	NA
"194"	1998-01-09 01:00:00	9	220	71	23	9	31	3.396667	0.92	NA
"195"	1998-01-09 02:00:00	7.8	220	52	24	15	29	3.126667	0.6566667	NA
"196"	1998-01-09 03:00:00	8.16	220	54	20	12	28	2.5975	0.665	NA
"197"	1998-01-09 04:00:00	7.56	220	47	19	12	26	2.3625	0.615	NA
"198"	1998-01-09 05:00:00	6.36	210	76	22	9	24	2.48	0.6625	NA
"199"	1998-01-09 06:00:00	6	200	146	33	4	31	3.4825	1.23	NA
"200"	1998-01-09 07:00:00	7.2	200	186	41	2	39	4.2125	2.02	NA
"201"	1998-01-09 08:00:00	8.16	200	192	42	2	44	4.4675	2.3875	NA
"202"	1998-01-09 09:00:00	8.4	210	189	35	2	50	5.2975	2.1925	NA
"203"	1998-01-09 10:00:00	8.16	220	200	46	1	50	5.4875	2.0175	NA
"204"	1998-01-09 11:00:00	9	220	266	47	2	57	6.2525	3.075	NA
"205"	1998-01-09 12:00:00	8.4	230	NA	NA	2	63	8.12	4.775	NA
"206"	1998-01-09 13:00:00	7.8	220	NA	NA	2	56	8.1175	3.915	NA
"207"	1998-01-09 14:00:00	7.2	210	NA	NA	2	54	9.04	4.43	NA
"208"	1998-01-09 15:00:00	6.36	200	NA	NA	1	46	8.4425	3.545	NA
"209"	1998-01-09 16:00:00	5.76	190	NA	NA	0	35	6.9975	2.98	NA
"210"	1998-01-09 17:00:00	5.16	180	NA	NA	0	32	5.25	2.3625	NA
"211"	1998-01-09 18:00:00	4.2	180	164	44	0	31	4.1975	2.165	NA
"212"	1998-01-09 19:00:00	4.2	170	225	49	1	31	4.23	3.2475	NA
"213"	1998-01-09 20:00:00	6	180	299	62	1	33	5.69	4.43	NA
"214"	1998-01-09 21:00:00	4.8	180	206	46	0	28	4.9425	2.485	NA
"215"	1998-01-09 22:00:00	4.2	170	223	58	0	28	5.23	2.14	NA
"216"	1998-01-09 23:00:00	2.76	190	232	44	1	30	5.4025	2.3875	NA
"217"	1998-01-10 00:00:00	1.8	180	291	51	1	33	5.913333	2.826667	NA
"218"	1998-01-10 01:00:00	1.8	180	322	48	1	36	6.405	2.856667	NA
"219"	1998-01-10 02:00:00	2.4	160	204	51	1	32	5.32	1.84	NA
"220"	1998-01-10 03:00:00	2.16	180	202	43	0	28	5.0425	1.92	NA
"221"	1998-01-10 04:00:00	2.4	160	139	35	1	26	4.075	1.305	NA
"222"	1998-01-10 05:00:00	2.16	140	101	32	0	23	3.3825	0.91	NA
"223"	1998-01-10 06:00:00	2.76	170	182	38	0	28	3.875	1.28	NA
"224"	1998-01-10 07:00:00	3.6	160	227	51	0	36	4.3975	1.65	NA
"225"	1998-01-10 08:00:00	3.36	170	185	47	0	34	4.1775	1.5275	NA
"226"	1998-01-10 09:00:00	3.36	180	195	42	0	34	4.11	1.625	NA
"227"	1998-01-10 10:00:00	3	170	354	59	1	45	6.1325	2.93	NA
"228"	1998-01-10 11:00:00	4.8	200	332	58	1	48	6.6775	2.83	NA
"229"	1998-01-10 12:00:00	3.6	170	256	40	1	45	5.98	2.56	NA
"230"	1998-01-10 13:00:00	3.96	190	262	46	0	46	6.3675	2.83	NA
"231"	1998-01-10 14:00:00	4.2	200	217	53	1	40	5.6925	2.5625	NA
"232"	1998-01-10 15:00:00	3	190	171	47	0	37	4.64	1.895	NA
"233"	1998-01-10 16:00:00	3.6	190	176	41	0	37	4.3825	1.995	NA
"234"	1998-01-10 17:00:00	3.6	0	224	51	1	39	4.62	2.905	NA
"235"	1998-01-10 18:00:00	3	130	230	40	0	39	4.6025	3.545	NA
"236"	1998-01-10 19:00:00	3.6	160	199	40	0	38	3.9775	2.435	NA
"237"	1998-01-10 20:00:00	2.4	140	268	41	0	45	4.8075	3.075	NA
"238"	1998-01-10 21:00:00	2.4	120	167	45	0	38	3.94	1.9925	NA
"239"	1998-01-10 22:00:00	2.76	120	210	44	0	41	4.655	2.39	NA
"240"	1998-01-10 23:00:00	1.8	120	148	35	0	39	4.6025	1.8975	NA
"241"	1998-01-11 00:00:00	1.56	150	224	47	1	41	5.55	2.7825	NA
"242"	1998-01-11 01:00:00	2.4	120	201	42	0	41	5.503334	2.493333	NA
"243"	1998-01-11 02:00:00	2.4	140	209	33	1	39	5.616667	2.36	NA
"244"	1998-01-11 03:00:00	1.56	120	186	38	0	34	5.3525	2.045	NA
"245"	1998-01-11 04:00:00	1.8	90	132	34	0	31	4.7725	1.505	NA
"246"	1998-01-11 05:00:00	1.8	120	159	38	0	30	4.91	1.4275	NA
"247"	1998-01-11 06:00:00	2.76	120	257	36	1	40	5.35	2.0925	NA
"248"	1998-01-11 07:00:00	2.4	120	313	36	0	43	6.235	2.4375	NA
"249"	1998-01-11 08:00:00	3.6	130	132	36	0	30	5.2175	1.255	NA
"250"	1998-01-11 09:00:00	3.96	140	220	44	1	36	6.0125	2.115	NA
"251"	1998-01-11 10:00:00	3.6	160	165	41	1	36	5.7925	1.97	NA
"252"	1998-01-11 11:00:00	4.56	170	173	38	0	34	5.64	2.14	NA
"253"	1998-01-11 12:00:00	5.4	180	198	41	1	35	5.8925	2.29	NA
"254"	1998-01-11 13:00:00	5.16	200	200	39	1	35	5.5375	2.39	NA
"255"	1998-01-11 14:00:00	4.2	190	154	36	1	36	4.81	2.0425	NA
"256"	1998-01-11 15:00:00	3.6	170	149	36	0	32	4.11	1.845	NA
"257"	1998-01-11 16:00:00	3.96	150	125	36	0	30	3.6875	1.725	NA
"258"	1998-01-11 17:00:00	3.96	150	156	46	1	32	3.7725	2.0925	NA
"259"	1998-01-11 18:00:00	4.2	170	266	55	1	37	4.7725	4.21	NA
"260"	1998-01-11 19:00:00	4.56	190	290	55	1	40	5.675	3.99	NA
"261"	1998-01-11 20:00:00	4.8	170	227	38	0	34	5.27	2.7075	NA
"262"	1998-01-11 21:00:00	4.8	170	190	45	0	31	4.825	2.2425	NA
"263"	1998-01-11 22:00:00	4.8	170	110	36	0	25	3.9425	1.255	NA
"264"	1998-01-11 23:00:00	5.4	170	171	34	1	27	4.2475	1.87	NA
"265"	1998-01-12 00:00:00	4.2	180	169	41	0	28	4.193333	1.87	NA
"266"	1998-01-12 01:00:00	3.96	180	101	30	1	27	3.4825	1.016667	NA
"267"	1998-01-12 02:00:00	3.36	190	92	29	3	29	3.326667	0.7233334	NA
"268"	1998-01-12 03:00:00	2.4	190	60	24	3	29	2.635	0.54	NA
"269"	1998-01-12 04:00:00	2.4	140	63	26	3	30	2.63	0.565	NA
"270"	1998-01-12 05:00:00	2.16	180	98	27	2	32	2.785	0.7375	NA
"271"	1998-01-12 06:00:00	3.36	130	219	45	1	40	3.89	1.7	NA
"272"	1998-01-12 07:00:00	3.6	170	247	47	0	42	4.5875	2.24	NA
"273"	1998-01-12 08:00:00	3.96	170	206	48	0	40	4.195	2.1675	NA
"274"	1998-01-12 09:00:00	4.8	180	244	53	0	40	4.5	2.1675	NA
"275"	1998-01-12 10:00:00	5.16	180	244	52	0	45	4.7225	2.09	NA
"276"	1998-01-12 11:00:00	6	180	196	44	0	42	4.5175	1.5775	NA
"277"	1998-01-12 12:00:00	6.6	180	228	46	1	44	5.3	1.97	NA
"278"	1998-01-12 13:00:00	5.4	180	312	48	1	53	6.6275	2.7825	NA
"279"	1998-01-12 14:00:00	5.4	190	475	76	2	62	8.785	5.12	NA
"280"	1998-01-12 15:00:00	4.8	180	311	55	0	52	5.88	3.643333	NA
"281"	1998-01-12 16:00:00	3.6	170	270	47	0	46	5.3175	3.7425	NA
"282"	1998-01-12 17:00:00	3.36	170	180	47	0	38	4.6025	2.4125	NA
"283"	1998-01-12 18:00:00	3.96	160	153	42	0	33	4.1625	2.14	NA
"284"	1998-01-12 19:00:00	4.2	150	166	48	0	34	4.415	2.07	NA
"285"	1998-01-12 20:00:00	4.2	140	164	44	0	36	4.6375	2.3875	NA
"286"	1998-01-12 21:00:00	4.8	130	144	35	0	33	4.5175	1.9425	NA
"287"	1998-01-12 22:00:00	3.96	130	149	38	0	34	4.4325	1.6275	NA
"288"	1998-01-12 23:00:00	2.76	160	116	35	0	32	4.0775	1.305	NA
"289"	1998-01-13 00:00:00	2.4	140	98	30	0	29	3.67	1.08	NA
"290"	1998-01-13 01:00:00	3	120	77	31	0	26	2.99	0.82	NA
"291"	1998-01-13 02:00:00	3	130	61	31	NA	24	2.766667	0.5566667	NA
"292"	1998-01-13 03:00:00	3.96	120	79	29	1	24	2.8525	0.615	NA
"293"	1998-01-13 04:00:00	3.6	110	66	26	1	25	2.8225	0.64	NA
"294"	1998-01-13 05:00:00	3.36	110	74	28	1	23	2.99	0.64	NA
"295"	1998-01-13 06:00:00	4.56	120	101	40	0	26	3.2975	0.8375	NA
"296"	1998-01-13 07:00:00	4.8	120	107	36	0	30	3.3825	1.13	NA
"297"	1998-01-13 08:00:00	4.8	130	131	34	0	35	3.72	1.3525	NA
"298"	1998-01-13 09:00:00	6.6	140	119	38	1	38	3.67	1.305	NA
"299"	1998-01-13 10:00:00	6.6	140	135	42	1	33	3.7025	1.205	NA
"300"	1998-01-13 11:00:00	6.36	130	138	46	1	32	3.7375	1.355	NA
"301"	1998-01-13 12:00:00	7.2	140	205	56	2	34	4.45	1.8225	NA
"302"	1998-01-13 13:00:00	6.6	140	165	44	2	37	4.74	2.0925	NA
"303"	1998-01-13 14:00:00	5.4	140	146	47	1	39	4.7025	1.87	NA
"304"	1998-01-13 15:00:00	4.56	130	134	43	1	39	4.0575	1.5	NA
"305"	1998-01-13 16:00:00	5.4	120	123	54	0	36	3.975	1.5275	NA
"306"	1998-01-13 17:00:00	6.36	110	92	41	0	33	3.415	1.305	NA
"307"	1998-01-13 18:00:00	7.56	120	95	48	1	31	3.2425	1.5025	NA
"308"	1998-01-13 19:00:00	9.6	130	80	34	4	26	3.1275	1.33	NA
"309"	1998-01-13 20:00:00	8.16	140	67	31	11	17	2.5825	1.18	NA
"310"	1998-01-13 21:00:00	6.6	130	48	25	12	13	1.9525	0.7875	NA
"311"	1998-01-13 22:00:00	6.6	130	46	27	12	11	1.8175	0.59	NA
"312"	1998-01-13 23:00:00	6.6	110	47	27	10	9	1.5275	0.565	NA
"313"	1998-01-14 00:00:00	5.4	110	39	25	11	7	1.446667	0.4566667	NA
"314"	1998-01-14 01:00:00	2.76	130	42	22	12	7	1.5625	0.49	NA
"315"	1998-01-14 02:00:00	3.96	170	208	49	1	20	3.69	1.573333	NA
"316"	1998-01-14 03:00:00	7.8	250	72	31	6	14	2.515	0.8375	NA
"317"	1998-01-14 04:00:00	8.4	270	58	27	6	11	2.24	0.715	NA
"318"	1998-01-14 05:00:00	9.6	270	71	25	5	12	2.2775	0.8375	NA
"319"	1998-01-14 06:00:00	7.56	290	58	22	10	6	2.02	0.8625	NA
"320"	1998-01-14 07:00:00	8.16	280	160	47	5	13	3.3125	1.625	NA
"321"	1998-01-14 08:00:00	8.4	280	220	55	2	24	4.555	2.4125	NA
"322"	1998-01-14 09:00:00	10.56	270	242	39	2	31	5.115	2.215	NA
"323"	1998-01-14 10:00:00	10.8	260	271	63	1	38	5.74	2.12	NA
"324"	1998-01-14 11:00:00	11.76	260	184	50	3	33	5.1975	1.7975	NA
